"Game"	"Platform"	"Score"	"Genre"
"Pro Evolution Soccer 2014"	"PC"	8.4	"Sports"
"Infinity Blade III"	"iPhone"	9.1	"Fighting, Action"
"SteamWorld Dig"	"PSV"	9.5	"Platformer"
"SteamWorld Dig"	"PS4"	9.5	"Platformer"
"SteamWorld Dig"	"3DS"	9.5	"Platformer"
"SteamWorld Dig"	"PC"	9.5	"Platformer"
"The Legend of Zelda: The Wind Waker HD (Nintendo eShop Edition)"	"WiiU"	9.8	"Action, Adventure"
"The Legend of Zelda: The Wind Waker HD"	"WiiU"	9.8	"Action, Adventure"
"Grand Theft Auto V "	"PS3"	10	"Action, Adventure"
"Grand Theft Auto V"	"X360"	10	"Action, Adventure"
"Call of Duty: Strike Team"	"iPhone"	6	"Shooter"
"Final Fantasy XIV Online: A Realm Reborn"	"PS4"	8.6	"RPG"
"Final Fantasy XIV Online: A Realm Reborn"	"PC"	8.6	"RPG"
"Final Fantasy XIV Online: A Realm Reborn"	"PS3"	8.6	"RPG"
"Kingdom Hearts HD 1.5 ReMIX"	"PS3"	8.5	"Action, Compilation"
"Amnesia: A Machine for Pigs"	"PC"	8.3	"Adventure"
"Diablo III"	"PS3"	9	"Action, RPG"
"Diablo III"	"X360"	9	"Action, RPG"
"Total War: Rome II"	"PC"	8.8	"Strategy"
"NHL 14"	"PS3"	8.3	"Sports"
"NHL 14"	"X360"	8.3	"Sports"
"Puppeteer"	"PS3"	8.5	"Platformer"
"Divekick"	"PC"	7	"Fighting"
"Divekick"	"PS3"	7	"Fighting"
"Divekick"	"PSV"	7	"Fighting"
"Killzone: Mercenary"	"PSV"	8	"Shooter"
"Outlast"	"PS4"	7.8	"Action, Adventure"
"Outlast"	"PC"	7.8	"Action, Adventure"
"Castle of Illusion Starring Mickey Mouse"	"PC"	6.7	"Platformer"
"Castle of Illusion Starring Mickey Mouse"	"X360"	6.7	"Platformer"
"Teenage Mutant Ninja Turtles: Out of the Shadows"	"X360"	6.1	"Action"
"Space Hulk (2013)"	"PC"	6.7	"Strategy"
"Guncraft"	"PC"	6.4	"Shooter"
"Killer is Dead "	"PS3"	5	"Action"
"Killer is Dead"	"X360"	5	"Action"
"Lost Planet 3"	"PS3"	6.2	"Action"
"Lost Planet 3"	"X360"	6.2	"Action"
"Lost Planet 3"	"PC"	6.2	"Action"
"Teleglitch: Die More Edition"	"Linux"	7.8	"Shooter"
"Teleglitch: Die More Edition"	"PC"	7.8	"Shooter"
"Teleglitch: Die More Edition"	"Macintosh"	7.8	"Shooter"
"Rayman Legends"	"X360"	9.5	"Platformer"
"Rayman Legends"	"PS3"	9.5	"Platformer"
"Rayman Legends"	"PS4"	9.5	"Platformer"
"Rayman Legends"	"WiiU"	9.5	"Platformer"
"Rayman Legends"	"XOne"	9.5	"Platformer"
"Rayman Legends"	"PC"	9.5	"Platformer"
"Madden NFL 25"	"X360"	8.5	"Sports"
"Madden NFL 25"	"PS3"	8.5	"Sports"
"Flashback"	"PS3"	5.8	"Action"
